,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
279,Kalika Multiple Campus,"Kajipokhari, Pokhara, Pokhara Lekhnath, Kaski",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 MA in Rural Development
        (MRD)
 Master of Business Studies
        (MBS)",community Institution,061-430385,kalikamultiplecampus@gmail.com
280,Surya Bhakta Patanadevi Memorial College,"Gaindakot-2, Gaindakot, Gaidakot, Nawalpur",National Examinations Board,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)",community Institution,"056-501079, 056-693309",spmcollege2006@gmail.com
281,Khwopa Engineering College,"Libali, Bhaktapur",Purbanchal University,"Bachelor of Architecture
        (B.Arch)
 Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Computer Engineering
 Bachelor in Electronics
 Communication and Automation Engineering
 Master of Engineering in Earthquake
 MSc in Urban Design and Conservation",community Institution,"01-6614794, 01-6614798",khec@wlink.com.np
282,Kailali Multiple Campus,"Dhangadi, Dhangadhi, Kailali",National Examinations Board,"​Bachelor of Business Administration
        (BBA)
 BSc Agriculture
        (BScAg)
 BSc in Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 BSc Physics
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Arts Bachelor of Law
        (BALLB)
 BSc Biology
 Bachelor of Education
        (BEd)
 BEd Computer Science and Information Technology
 Master of Arts
        (MA)
 Master of Business Management
        (MBM)
 Master of Business Administration
        (MBA)
 Master of Education
        (MEd)
 Master of Business Studies
        (MBS)
 MBA in Entrepreneurship
        (MBA-E)",community Institution,"091-521223 , 091-526293",kmckailali@gmail.com
283,"Masters Program in Sports Science, Tribhuvan University","Kirtipur, Kathmandu",Tribhuvan University,"Master in Sports Science
        (MSS)",community Institution,,
284,Valmeeki Vidyapeeth,"Exhibition Road, Putalisadak, Kathmandu",Nepal Sanskrit University,"Uttar Madhyama
 Shastri
 Acharya",constituent Institution,977-1-4227193,infobalmiki@nsu.edu.np
285,Pindeshwar Vidyapeeth,"Dharan, Sunsari",Nepal Sanskrit University,"Uttar Madhyama
 Acharya",constituent Institution,025-520285,pindeshworv@nsu.edu.np
286,School of Management | Purbanchal University,"Biratnagar, Morang",Purbanchal University,"Bachelor of Business Administration
        (BBA)
 Master of Business Administration
        (MBA)
 Bachelor of Hotel Management
        (BHM)
 MPhil Management
 PhD in Management",constituent Institution,021-534027,mgcampus@wlink.com.np
287,School of Engineering  | Purbanchal University,"Biratnagar, Morang",Purbanchal University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor in Electronics
 Communication and Automation Engineering
 Bachelor of Computer Engineering
 Bachelor of Electrical Engineering",constituent Institution,"021-461270, 021-462179",puset@ntc.net.np
288,School of Public Health | Patan Academy of Health Sciences,"Lagankhel, Lalitpur",Patan Academy of Health Sciences,"Master of Public Health
        (MPH)",constituent Institution,01-5545112,pahs@pahs.edu.np
289,School of Development and Social Engineering | Pokhara University,"Dhungepatan, Khudi, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,"Bachelor in Development Studies
        (BDevS)
 Master in Population
 Gender and Development
        (MPGD)
 Master in Development Studies
        (MDEVS)
 Bachelor of English and Communication Studies
        (BECS)
 Bachelor of Entrepreneurship Development
        (BED)",constituent Institution,"061-561699 , 061-561696",coordinator@pu.edu.np
290,Central Ayurveda Vidyapeeth,"Bijauri, Tulsipur, Dang",Nepal Sanskrit University,"Bachelor of Ayurvedic Medicine and Surgery
        (BAMS)",constituent Institution,,
291,School of Engineering | Pokhara University,"Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,"Bachelor of Civil Engineering
 Bachelor of Electrical and Electronics Engineering
 Bachelor of Civil and Rural Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE Computer)
 Bachelor of Software Engineering
 MSc in Structural Engineering
 MSc in Bioinformatics
        (M.Sc. Bioinformatics)
 Master of Science in Construction Management
 MSc in Electrical Engineering in Power System
 MSc in Hydropower Engineering
 MSc in Public Health and Disaster Engineering
        (MSc PH)",constituent Institution,"061-561698 , 061-561697",
292,Tikapur Multiple Campus,"Tikapur, kailali, Tikapur, Kailali",National Examinations Board,"Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 BSc Agriculture
        (BScAg)
 Bachelor of Business Studies
        (BBS)
 Bachelor of English Education
        (BEd)
 Master of Arts
        (MA)
 ​Bachelor of Business Administration
        (BBA)
 Bachelor of Arts Bachelor of Law
        (BALLB)
 Bachelor of Arts
        (BA)
 Master of Education
        (MEd)",constituent Institution,"091-560088 , 091-561088",mail@tmc.edu.np
293,Graduate School of Engineering | Mid-West University,"Birendranagar, Surkhet",Mid-West University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Computer Engineering
        (BE)
 Bachelor of Hydropower Engineering
 MSc in Structural Engineering
 MSc in Construction Management",constituent Institution,"083-524433, 01-5524149, 9804552850",
294,Graduate School of Science and Technology | Mid-West University,"Birendranagar, Surkhet",Mid-West University,"BSc in Botany
 BSc in Statistics
 BSc Zoology
 Bachelor of Arts in Mathematics
        (BSc Maths)
 BSc in Computer Science and Information Technology
        (BSc CSIT)
 Master of Science in Physics
        (MSc Physics)",constituent Institution,"083-521315, 9848085540",
295,"Faculty of Agriculture, Agriculture and Forestry University","Rampur, Bharatpur, Chitwan",Agriculture and Forestry University,"Msc Agriculture
        (MSc Ag)
 BSc Agriculture
        (B.Sc Ag)",constituent Institution,"056-591655, 056-591777",admin@afu.edu.np
296,College of Environment and Forestry | Purbanchal University,"Gothgaun, Sundarharaicha, Morang",Purbanchal University,"Masters in Environmental Administration and Management
 BSc in Forestry",constituent Institution,9852084222,info.pucef@gmail.com
297,Himalaya Eye Hospital,"Pardi Bazaar, Pokhara, Pokhara Lekhnath, Kaski",Pokhara University,"Master of Optometry
        (M Optom)
 Bachelor of Optometry
        (B Optom)",constituent Institution,061-461168,heh@ntc.net.np
298,"Faculty of Animal Science, Veterinary Science and Fisheries, Agriculture and Forestry University","Rampur, Bharatpur, Chitwan",Agriculture and Forestry University,"Bachelors in Veterinary Sciences and Animal Husbandry
        (BVSc&AH)
 BSc Fisheries
 MSc in Animal Science
 Master of Veterinary Science
        (MVSc)
 MSc in Fisheries (Aquaculture)",constituent Institution,+977 56 592131,admin@afu.edu.np
299,"Faculty of Forestry, Agriculture and Forestry University","Hetauda, Makawanpur, Hetauda, Makwanpur",Agriculture and Forestry University,BSc in Forestry,constituent Institution,"+977 57 524154, +977 57 527354, +977 57 523248",deanforestry@afu.edu.np
300,"Center for Biotechnology, Agriculture and Forestry University","Bharatpur, Chitwan, Bharatpur, Chitwan",Agriculture and Forestry University,"MSc in Agriculture (Biotechnology)
 MSc in Animal Science (Biotechnology)
 MSc Forestry
 MSc in Veterinary Science (Biotechnology)",constituent Institution,,
301,Central Campus: Lumbini Buddhist University,"Parsa Chauraha, Lumbini, Lumbini Sanskritik, Rupandehi",Lumbini Buddhist University,"MA in Applied Buddhism
 MA in Mahayana Buddhism
 MA in Theravada Buddhism
 Bachelor in Travel and Tourism Management with honors in Buddhism
        (BTTM)
 MA in Archaeology and Buddhist Archaeological Sites
 MA in Museology and Buddhist Collections",constituent Institution,"977-71-404071, 071-404077",
302,School of Forestry and Natural Resource Management | Institute of Forestry,"Kirtipur, Kathmandu",,"MSc in Wildlife Management and Biodiversity Conservation
 MSc Mountain Environment and Development Studies
 MSc in Forestry",constituent Institution,01-4333927,
303,City Campus Butwal,"Butwal, Rupandehi",Lumbini Buddhist University,"Bachelor of Arts
 Bachelor of Law
        (BALLB)
 Bachelor in Travel and Tourism Management with honors in Buddhism
        (BTTM)
 MA in Buddhist Studies",constituent Institution,071-445537,
304,Mid-West University MICD Office,"Nayabato, Dhobighat, Lalitpur",Mid-West University,"Master in International Cooperation and Development
        (MICD)",constituent Institution,01-5544970,micd@mwu.edu.np
305,School of Development Studies and Applied Sciences - Lumbini Buddhist University,"Lumbini, Devdaha, Rupandehi",Lumbini Buddhist University,"Master in Environmental Studies
        (MES)
 Master in Development Studies
        (MDS)
 Master in Agro-Forestry
        (MAF)",constituent Institution,977-71-577427,info@lbu.edu.np
306,School of Engineering - Manmohan Technical University,"Budhiganga-4, Biratnagar, Budhiganga, Morang",Manmohan Technical University,"Bachelor in Electrical and Electronics Engineering
        (BEExE)
 Bachelor in Civil Engineering",constituent Institution,,info@mtu.edu.np
307,School of Applied Science and Technology - Manmohan Technical University,"Biratnagar, Budhiganga, Morang",Manmohan Technical University,MSc Health Policy and Management,constituent Institution,021-691096,info@mtu.edu.np
308,School of Science and Technology | Purbanchal University,"Biratnagar, Morang",Purbanchal University,"Bachelor of Computer Application
        (BCA)
 Bachelor of Information Technology
        (BIT)
 Master of Computer Application
        (MCA)
 Master of Information Technology
        (MIT)
 Post Graduate Diploma in Computer Application
 BTech in Artificial Intelligence
        (BTech in AI)",constituent Institution,,
309,Graduate School of Agriculture and Forestry | Mid-West University,"Birendranagar, Surkhet",Mid-West University,"BSc Agriculture
        (BSc Ag)",constituent Institution,,
310,NATHM-Bardibas,"Bardibas, Bardibas, Mahottari",Kathmandu University,"Bachelor in Hospitality Management
        (BHM)",constituent Institution,,bardibas@nathm.edu.np
311,Aspire College,"Malaya Road, Biratnagar, Biratnagar, Morang",Kathmandu University,"Bachelor in Professional Hospitality
        (BPH)
 Bachelor of Technical Education in Information Technology
        (B Tech Ed IT)",constituent Institution,021-435170,aspire.ku.brt@gmail.com
312,Theravada Buddhist Academy,"Min Bhawana, Vishwa Shanti Vihar, Kathmandu",Lumbini Buddhist University,"MA in Theravada Buddhism
 Master in Pali Buddhist Studies",private Institution,,
313,Lumbini College of Buddhism and Himalayan Studies,"Chabhil, Chuchepati, Kathmandu",Lumbini Buddhist University,MA in Buddhism and Himalayan Studies,private Institution,,
314,Sugata Buddhist College,Lalitpur,Lumbini Buddhist University,MA in Mahayana Buddhism,private Institution,,
315,Lotus Academic College,"Khwayabahil, Lalitpur",Lumbini Buddhist University,"MA in Applied Buddhism
 MA in Buddhist Studies",private Institution,,
316,Kathmandu School of Law,"Dadhikot, Suryabinayak, Bhaktapur",Purbanchal University,"Bachelor of Arts
 Bachelor of Laws
        (BALLB)
 Master of Laws
        (LLM)
 Master in Conflict and International Humanitarian Law
 Master Degree in Human Rights",private Institution,,
317,Shree Medical and Technical College,"Bharatpur, Chitwan",Council for Technical Education and Vocational Training,"Master in Pharmacy (Clinical Pharmacy)
 Certificate in Medical Laboratory Technology
        (CMLT)
 Post Basic Bachelor in Nursing
        (BNS)
 Bachelor of Pharmacy
        (B Pharm)
 Bachelor of Public Health
        (BPH)
 BSc Nursing
 Master of Public Health
        (MPH)",private Institution,,
318,Himalayan College of Geomatic Engineering and Land Resource Management,"Minbhawan, Kathmandu",Purbanchal University,"Bachelor of Geomatic Engineering
        (BE Geomatics)",private Institution,,
319,Himalayan College of Agriculture Science and Technology,"Kirtipur, Kathmandu",Purbanchal University,"BSc Hons in Agriculture
 Bachelor of Veterinary Science and Animal Husbandry
        (BVSc&AH)
 MSc in Meat Technology
 Master in Agri-Business Management",private Institution,,
320,School of Environmental Science and Management,"New Baneshwor, Kathmandu",Pokhara University,"Bachelor of Business Administration
        (BBA)
 BSc in Environmental Management
 Bachelor of Computer Application
        (BCA)
 MSc in Environmental Science and Management",private Institution,,
321,Kasthamandap School of Public Affairs Management,"New Baneshwor, Kathmandu",Purbanchal University,"Master of Public Administration
        (MPA)",private Institution,,
322,Sushma Koirala Memorial Nursing Campus,"Sankhu, Shankharapur, Kathmandu",Council for Technical Education and Vocational Training,PCL Nursing,private Institution,,
323,College of Development Studies,"Old Baneshwor, Kathmandu",Purbanchal University,"Master in Development Studies
        (MDS)",private Institution,,
324,College of Development Studies,"Old Baneshwor, Kathmandu",Purbanchal University,"Master in Development Studies
        (MDS)",private Institution,,
325,Ramnagar Technical and Management College,"Ramnagar, Sunwal, Parasi",Agriculture and Forestry University,"BSc Agriculture
        (B.Sc Ag)",private Institution,,
326,Glacier Educational Foundation,"Banepa, Kavrepalanchok",Kathmandu University,"Bachelor in Professional Hospitality
        (BPH)",private Institution,,
327,School of Education  | Kathmandu University,"Hattiban, Lalitpur",Kathmandu University,"MEd in Leadership and Management
 MPhil by Research in Mathematics Education
 Master in Sustainable Development
        (MSD)
 MEd in English Language Teaching
 MEd in Mathematics Education
 BEd in Chinese Language Teaching
        (BEd in CLT)
 Master in Technical and Vocational Education and Training
        (MTEVT)
 MEd in Leadership and Management - One Year
 MPhil in Educational Leadership
 MPhil in English Language Education
 MPhil in Development Studies
 MPhil in STEAM Education
 PhD in Education
 One Year M Ed in STEAM Education
 MEd in English Language Teaching - One Year
        (M Ed in ELT)
 MEd in Training and Development
 MEd in Early Child Development
        (MEd ECD)
 Postgraduate Diploma in Educational Management
 Post Graduate Diploma in Mathematics Education
 Bachelor of Technical Education in Information Technology
        (B Tech Ed IT)",public Institution,"01-5250524, 01-5251306",kusoed@ku.edu.np
328,Nepal Academy of Tourism and Hotel Management,"Kalimati, Kathmandu",Tribhuvan University,"Master of Hospitality Management
        (MHM)
 Bachelor of Hotel Management
        (BHM)
 Bachelor in Travel and Tourism Management
        (BTTM)
 Trekking Guide Training",public Institution,"01-4270605, 01-4270073",nathm@mos.com.np
329,School of Management | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MBA in Global Leadership and Management
        (MBA)
 Master of Business Administration
        (MBA)
 MBA Finance and Control
        (MFC)
 MBA in Information Technology
        (MBA-IT)",public Institution,977-1-4332719,info@somtu.edu.np
330,"Department of Conflict, Peace and Development Studies Tribhuvan University","Mid-Baneshwor, Kathmandu",Tribhuvan University,"MA in Conflict
 Peace and Development Studies",public Institution,4462988,admin@dcpds-tu.edu.np
331,Kathmandu University School of Engineering,"Dhulikhel, Kavrepalanchok",Kathmandu University,"ME in Computer Engineering
        (ME)
 Master of Technology in Information Technology
        (MTech in IT)
 ME in Structural Engineering
 ME in Mechanical Engineering
 ME in Communication Engineering
 ME in Electrical Power Engineering
 Master in Energy Efficient Building Design
        (EEBD)
 Master in Land Administration
 ME/MS in Geoinformatics
 ME/MS Sanitation Technology
 BTech in Artificial Intelligence
        (BTech in AI)
 MTech in Artificial Intelligence
        (M Tech in AI)
 Bachelor in Mechanical Engineering
        (BE Mechanical)
 Bachelor of Geomatic Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE)
 Bachelor in Chemical Engineering
        (BE Chemical)
 Bachelor of Civil Engineering
        (BE Civil)
 Bachelor in Electrical and Electronics Engineering
        (BE Electrical)
 Bachelor of Architecture
 Bachelor in Mechanical Engineering (Hydropower)
        (BE Mechanical)
 Bachelor in Mechanical Engineering (Automobile)
        (BE Mechanical)
 Bachelor in Mechanical Engineering (Energy Technology)
        (BE Mechanical)
 Bachelor in Mechanical Engineering (Design & Manufacturing)
        (BE Mechanical)
 Master in Planning and Operation of Energy Systems
 Master in Health Informatics",public Institution,977-11-661399,info@ku.edu.np
332,Siddhanath Science Campus,"Mahendranagar, Bhimdatta, Kanchanpur",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 MSc Physics
 BSc Microbiology
 Bachelors in Information Technology
        (BIT)
 BSc Chemistry
 BSc Physics",public Institution,977-99-21220,
333,School of Management  | Kathmandu University,"Balkumari, Lalitpur",Kathmandu University,"Master of Business Administration
        (MBA)
 BBA (Hons)/BBA (Emphasis)
 Executive MBA
        (EMBA)
 PhD in Management
 MPhil in Management
 Master of Public Policy and Management
        (MPPM)
 Bachelor of Business Information System
        (BBIS)
 Post Graduate Diploma in Management
        (PGD)
 Master in Security Management
        (MSM)
 Post Graduate Diploma in Security Management
        (PGD)
 Master in Business and Economics
        (MBE)",public Institution,977-1- 5548891,info@kusom.edu.np
334,School of Engineering  | Far Western University,"Mahendranagar, Kanchanpur",Far-Western University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor in Computer Engineering
        (BE Computer)
 MSc Construction Project Management",public Institution,099-520729,
335,School of Law  | Kathmandu University,"Dhulikhel, Kavrepalanchok",Kathmandu University,"Masters by Research in Energy and Infrastructure Law
 Bachelor of Business Management and Bachelor of Law
        (BBM-LLB)
 Bachelor of Economics and Bachelor of Law
        (BEc LLB)
 Master of Laws (LLM) in Energy and Infrastructure Law
 Master in Energy and Infrastructure Law
        (MEIL)",public Institution,977-011-490735,kusl@ku.edu.np
336,Kathmandu University School of Science,"Dhulikhel, Kavrepalanchok",Kathmandu University,"PhD in Computer Science
 MSc in Computational Mathematics
 MSc in Environmental Science
 BSc Agriculture
 BSc in Environmental Science
 BTech Biotechnology
 BTech Environmental Engineering
 BSc in Computer Science
 Bachelor of Pharmacy
        (B Pharm)
 BSc in Computational Mathematics
 Master in Pharmacy
        (M Pharm)
 MSc in Physics
 MPhil in Physics
 MPhil in Environmental Science
 MPhil in Mathematics
 MPhil in Chemistry
 MTech Biotechnology
 MTech Environmental Engineering
 MS by Research in Glaciology
 PhD in Pharmacy
 PhD in Physics
 PhD in Mathematics
 PhD in Statistics
 PhD in Biotechnology
 PhD in Environmental Engineering
 PhD in Environmental Science
 PhD in Chemistry
 Bachelor of Science in Bioinformatics
        (BSc Bioinformatics)
 PharmD (Post Baccalaureate)",public Institution,011-661399,pannathapa@ku.edu.np
337,MSW Program CNAS Building,"Kirtipur, Kathmandu",Tribhuvan University,"Masters in Social Work
        (MSW)",public Institution,"01-4332688, 9841599135",info@mswtu.edu.np
338,Central Department of Public Health | Tribhuvan University,"Maharajgunj, Kathmandu",Tribhuvan University,"Master of Public Health
        (MPH)
 Bachelor of Public Health
        (BPH)",public Institution,,cdph@iom.edu.np
339,Central Department of History | Tribhuvan University,"Kirtipur, TU Central Campus, Kirtipur, Kathmandu",Tribhuvan University,"MA in History
        (MA History)
 PhD in History",public Institution,,
340,Janaki College for Professional Studies,"Akshar Vidya Mandir, Janakpurdham, Janakpur, Dhanusha",Kathmandu University,"Bachelor of Technical Education in Information Technology
        (B Tech Ed IT)",,,info@janaki.education
341,Sulakshan Kirti Campus,,,"Master in Buddhism and Sustainable Development
        (MBSD)",,9851228727,sulkc.edu@gmail.com
342,Akshwar Baudha Mahavidhyalaya,Kathmandu,,"Bachelor in Traditional Buddhist Art
        (BTBA)",,,
343,Kali Gandaki Campus,"Birgha, Syangja",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,063-420831,
344,Dahathum Multiple Campus,"Darshing, Dahathum VDC-9, Dahathum, Bhirkot, Syangja",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
345,Janapradeep Multiple Campus,"Aandhikhola, Syangja",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
346,Chure Campus,"Bagnaha, Thakurbaba, Bardiya",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",community Institution,084-620275,
347,Krishna Gandaki Campus,"Narayansthan, Balewa, Baglung",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
348,Jalbire Valley Campus,"Jalbire, Sindhupalchok",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
349,​Athabis Education Campus,"Tilepata, Aathabis, Dailekh",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
350,Shadananda Multiple Campus,"Dingla, Shadananda, Bhojpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,smcdingla@gmail.com
351,Sautha Multiple Campus,"Sijawa, Ratuwamai, Morang",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
352,​Mainapokhar Sharada Multiple Campus​,"Mainapokhar, Badhaiyatal, Bardiya",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
353,Panchakanya Multiple Campus,"Arjunchaupari, Arjunchaupari, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
354,Tribhuvan Aadarsha Campus,"Putalibazar, Putalibazar, Syangja",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,063-420380,tamcsyangja@gmail.com
355,Gokundeshwar Campus,"Dhankutanagar, Dhankuta",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,026-521622,
356,Namuna Bageshwori Multiple Campus,"Baireni, Benighat Rorang, Dhading",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
357,Shivagunj Multiple Campus,"Shivagunj, Shivasatakshi, Jhapa",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
358,Balaha Multiple Campus,"Inaruwa, Sunsari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
359,Sadashiva Multiple Campus,"Magaragadhi-2, Jayanagar, Magaragadhi, Barbardiya, Bardiya",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,,
360,Bajhangdeep Campus,"Kedarseu, Bajhang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
361,J.S. Murarka Multiple Campus,"Lahan, Siraha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Science (General)
        (BSc)
 Master of Business Studies
        (MBS)
 MA in Sociology
 Master of Education General
        (M.Ed)",community Institution,033-560252,jsmmc2012@gmail.com
362,Galkot Multiple Campus,"Galkot, Baglung",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,993681364,
363,Panini Campus,"Chutrabesi, Sandhikharka, Arghakhanchi",National Examinations Board,"Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Master of Education General
        (M.Ed)
 Master of Business Studies
        (MBS)",community Institution,077-420582,mail@paninicampus.edu.np
364,Hile Campus,"Hile, Dhankuta",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,,
365,Simpani Campus,"Khotehang, Khotang",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,993361040,
366,Basanta Multiple Campus,"Basantpur, Laligurans, Tehrathum",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
367,Gramodaya Yugkabi Siddhicharan Campus,"Likhu, Okhaldhunga",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,9744030625,
368,Marsyangdi Multiple Campus,"Beshi Shahar, Besishahar, Lamjung",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)
 MA in Sociology
 MEd Curriculum and Evaluation
 Master of Business Studies
        (MBS)",community Institution,977 066-520213,info@marshyangdimultiplecampus.edu.np
369,​Manusha Tika Singh Thapa Multiple Campus,"Thakurbaba, Bardiya",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
370,Gautam Buddha Multiple Campus,"Jayanagar 8,Gorusinghe, Jayanagar, Buddhabhumi, Kapilvastu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,068-57050368,campusgautam@gmail.com
371,Gograha College,"Biratnagar, Morang",Purbanchal University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
372,Letang Campus,"Letang, Letang, Morang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,021-460250,
373,Phalahari Baba Multiple Campus,"Maharajganj Municipality-1, Maharajganj, Maharajgunj, Kapilvastu",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,"076-400028, 9821413137",
374,Himal Darshan Campus,"Necha, Necha Batase, Nechasalyan, Solukhumbu",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,038-690324,
375,Suryagadhi Community Campus,"Suryagadhi, Nuwakot",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,9741058835,
376,Simara College,"Simara, Jitpur Simara, Bara",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,053-521812,simaracollege@hotmail.com
377,Bhagyodaya Campus,"Sankhu, Shankharapur, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,01-4450769,bhagyodayacampus@gmail.com
378,Bakuliya Campus,"Bhawanipur, Jitpur, Jitpur Bhawanipur, Jitpur Simara, Bara",Tribhuvan University,"Bachelor of Education
        (BEd)",community Institution,,
379,Bramhachari Damodrananda College,"Ramnagar, Mirchaiya, Mirchaiya, Siraha",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",community Institution,,
380,Sapahi College,"Gadhimai, Kolhabi, Bara",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,,
381,Bardibas Janta Multiple Campus,"Bardibas, Bardibas, Mahottari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",community Institution,"044-550118,550363",
382,Okhaldhunga Campus,"Siddhicharan, Okhaldhunga",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Bachelor of Arts
        (BA)",community Institution,037-520028,
383,Jana Adarsha Campus,"Madhyapur Thimi, Madhyapur Thimi, Bhaktapur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",community Institution,01-6633733,
384,Janta Campus Punarbas,"Punarwash, Tribhuvanbasti, Punarwash, Punarbas, Kanchanpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",community Institution,,
385,Janta Multiple Campus,"Itahari, Sunsari",National Examinations Board,"Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)
 Bachelor of Business Studies
        (BBS)
 Master of Education General
        (M.Ed)
 Bachelor of Arts
        (BA)",community Institution,"025-581300, 025-580064",
